epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
50,26.4789,0.4906,0.54564,0.81423,0.96382,0.99566,0.995,0.81146,0.65364,0.4423,0.80457,2.68173e-05,2.68173e-05,2.68173e-05
1,1.23673,2.17259,4.282,1.71928,0.64139,0.09484,0.14145,0.06785,2.10298,3.3783,1.86315,2.727e-05,2.727e-05,2.727e-05
2,2.00751,1.83899,3.86516,1.60809,0.39101,0.48256,0.47045,0.27153,1.933,2.13436,1.73525,6.23701e-05,6.23701e-05,6.23701e-05
3,2.77611,1.77643,3.06255,1.45791,0.51129,0.425,0.52539,0.31369,1.88821,1.90736,1.68771,9.60304e-05,9.60304e-05,9.60304e-05
4,3.53471,1.67828,2.47813,1.41814,0.66448,0.60168,0.694,0.40104,1.68264,1.4016,1.57736,0.000128251,0.000128251,0.000128251
5,4.38932,1.40946,1.88275,1.28924,0.67102,0.81699,0.77944,0.40802,1.50326,1.99869,1.44662,0.000159031,0.000159031,0.000159031
6,5.1912,1.29241,1.46458,1.16848,0.8417,0.8194,0.83108,0.44697,1.39258,1.67088,1.4001,0.000188372,0.000188372,0.000188372
7,6.29795,1.08399,1.41717,1.12182,0.88287,0.76607,0.88608,0.50259,1.33061,1.46448,1.3652,0.000216273,0.000216273,0.000216273
8,7.13601,1.00962,1.48721,1.08174,0.87362,0.82273,0.92672,0.6138,1.17739,1.58132,1.27141,0.000242734,0.000242734,0.000242734
9,7.91579,1.02067,1.18342,1.03371,0.92869,0.80587,0.93613,0.63968,1.11447,1.2635,1.24103,0.000267755,0.000267755,0.000267755
10,8.77346,1.12279,1.3549,1.26257,0.89896,0.90347,0.95042,0.6462,1.07324,1.10859,1.24562,0.000291336,0.000291336,0.000291336
11,9.53253,0.63095,7.67475,0.75258,0.95,0.89185,0.97409,0.66526,1.08058,1.00359,1.25921,0.000313478,0.000313478,0.000313478
12,10.3428,0.90561,1.14929,1.07842,0.94857,0.92875,0.97278,0.67999,1.07337,0.9272,1.25168,0.000334179,0.000334179,0.000334179
13,11.1608,0.888,0.83261,1.00321,0.97368,0.92883,0.98263,0.68831,1.07694,0.86359,1.2495,0.000353441,0.000353441,0.000353441
14,11.8806,0.9789,0.91472,1.00206,0.95872,0.939,0.98089,0.66535,1.06719,0.72698,1.2557,0.000371263,0.000371263,0.000371263
15,12.5189,0.77602,0.82118,0.981,0.96423,0.91559,0.9676,0.69047,1.01256,0.67669,1.2209,0.000387645,0.000387645,0.000387645
16,13.2354,0.66885,1.00186,0.94458,0.96423,0.91559,0.9676,0.69047,1.01256,0.67669,1.2209,0.000402587,0.000402587,0.000402587
17,13.9243,0.83186,0.8944,1.03795,0.96459,0.92307,0.97852,0.71672,0.98796,0.64143,1.17495,0.000416089,0.000416089,0.000416089
18,14.6718,0.95132,0.86567,1.08092,0.93311,0.92815,0.97651,0.71016,0.96272,0.63833,1.16941,0.000428152,0.000428152,0.000428152
19,15.2892,0.84453,0.77538,0.9787,0.93311,0.92815,0.97651,0.71016,0.96272,0.63833,1.16941,0.000438774,0.000438774,0.000438774
20,16.0931,0.58703,4.18338,0.72435,0.96777,0.91753,0.98451,0.73514,0.91377,0.58357,1.1497,0.000447957,0.000447957,0.000447957
21,16.8047,0.91172,0.99396,1.02515,0.96245,0.95091,0.98957,0.74884,0.90774,0.5445,1.14119,0.0004557,0.0004557,0.0004557
22,17.4433,0.88912,0.80787,1.08696,0.96245,0.95091,0.98957,0.74884,0.90774,0.5445,1.14119,0.000462003,0.000462003,0.000462003
23,18.1722,0.69102,0.65967,0.94382,0.96926,0.96335,0.99099,0.76644,0.90709,0.56259,1.09893,0.000466866,0.000466866,0.000466866
24,18.8688,0.76823,0.74643,0.99695,0.96926,0.96335,0.99099,0.76644,0.90709,0.56259,1.09893,0.000470289,0.000470289,0.000470289
25,19.661,0.77799,0.64599,0.93403,0.97823,0.9635,0.99455,0.76968,0.86463,0.52971,1.0859,0.000472273,0.000472273,0.000472273
26,20.31,0.80218,0.65021,1.00336,0.97823,0.9635,0.99455,0.76968,0.86463,0.52971,1.0859,0.000459045,0.000459045,0.000459045
27,21.0304,0.66157,0.63529,0.90076,0.94355,0.95873,0.98979,0.79841,0.8451,0.59718,1.10472,0.000441047,0.000441047,0.000441047
28,21.7076,0.64884,0.65414,0.88115,0.94355,0.95873,0.98979,0.79841,0.8451,0.59718,1.10472,0.000423049,0.000423049,0.000423049
29,22.3756,0.89826,0.9288,1.1215,0.95911,0.96939,0.99058,0.79471,0.82919,0.52465,1.09226,0.00040505,0.00040505,0.00040505
30,23.1021,0.64236,0.59252,0.95599,0.95911,0.96939,0.99058,0.79471,0.82919,0.52465,1.09226,0.000387052,0.000387052,0.000387052
31,23.7883,0.72295,0.63749,0.9472,0.94915,0.93648,0.97736,0.79844,0.77185,0.53278,1.05038,0.000369054,0.000369054,0.000369054
32,24.6313,0.62793,0.61227,0.91774,0.94915,0.93648,0.97736,0.79844,0.77185,0.53278,1.05038,0.000351056,0.000351056,0.000351056
